Countries,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Japan,870.674,898.388,903.536,911.656,968.767,990.425,1010.723,1034.771,1031.269,1048.23,1067.816,1050.233,1068.065,1058.886,1088.467,1108.842,1112.688,1141.866,1108.267,1090.486,1170.899,1110.734,1098.91,1104.148,1075.983,1058.654,1070.87,1080.901884,1068.385206,1040.626841,1017.778361,1056.4931408594,1062.6271836429
Malaysia,23.016,26.552,29.319,34.739,39.1,45.462,51.416,57.883,60.711,65.233,69.255,71.084,74.249,78.469,82.284,82.673,89.83,97.516,97.801,116.003,124.786,129.283,134.381,138.348,147.469,150.123,156.66,163.727852,170.517863,178.353998,182.566409,186.92422011576,193.64692528543
South Korea,105.371,114.82,126.17,144.814,163.516,183.857,205.382,224.704,217.889,237.503,290.126,310.958,331.882,345.192,368.162,389.39,404.021,427.316,446.429,454.504,499.508,523.286,534.618,541.996,550.934,552.697,562.7,566.89333,590.128997,581.492279,578.594549,606.202555,624.68156542557
Taiwan,89.262,98.15,104.311,113.24,122.637,131.217,139.995,148.421,161.152,170.089,185.523,189.227,199.392,209.74,219.078,228.237,236.169,243.682,238.826,230.62,247.106,252.174,250.38,252.358,259.984,258.168,264.13,270.280562,275.576788,274.190867,280.127059,291.09583562302,288.27785122697
Thailand,44.176,50.185,57.098,63.407,71.177,80.083,89.842,93.226,90.052,90.039,95.977,102.42,109.013,116.983,125.727,132.197,138.742,143.639,147.344,148.34,159.462,155.68,165.423,170.113,172.208,177.227,188.265,181.939678,182.288446,190.748378,179.386057,180.4463176897,185.70080919391
Pacific,189.648,192.484,194.7927,200.2947,204.64422,211.88484,216.95477,222.828548,236.163028,245.182391,252.918064889,267.997590778,272.191077,265.909323556,275.69912,276.194972778,280.867005,291.647034,291.793807,296.342934666,302.4832591,303.2899912,300.503241,298.410162,297.007076,301.960865,306.876121,308.706025,311.80293,315.394525,315.648107,316.6326881093,321.96441422396
Australia,155.019,156.818,159.545,163.65,167.463,173.159,177.598,182.939,195.369,203.987,210.224,224.635,227.555,220.802,228.434,228.65,232.83,243.157,243.221,248.162,252.661,253.82,250.931,249.37,247.451,251.415,256.563,258.019,260.998,264.025,265.178199,265.554452,270.67435563664
New Zealand,32.614,33.639,33.211,34.616,35.196,36.41,36.804,37.443,37.776,37.96,39.388,39.705,40.731,40.855,42.768,42.981,43.538,43.897,43.929,43.55,44.998,44.631,44.626,43.771,43.988,44.69,44.163,44.640757,44.694721,45.146988,44.543303,44.626390109303,44.729571006408
Africa,316.6534,324.754,327.2147,339.0296,351.02,362.882697,384.212762,401.141721,407.216804,419.86245,443.232231,459.795147,488.520719,509.78329,541.526636,562.00425,587.213888,613.317904,622.346835,627.099771,685.931904,693.656227,722.344842,742.479389,767.736299222,792.355892,802.586415444,827.281789222,849.305408,864.188583,854.442748,894.63334469293,894.24875012187
Algeria,16.104,17.345,18.286,19.414,19.883,19.715,20.654,21.497,23.262,24.757,25.412,26.625,27.648,29.571,31.25,33.915,35.226,37.196,40.236,38.501,45.734,51.224,57.397,59.89,64.242,68.798,70.997,76.018,76.66304,81.526,79.155044,85.391537464428,91.64444268331
Egypt,42.256,44.296,45.678,47.796,49.304,52.0,55.14,58.428,62.966,68.495,78.143,83.282,89.19,95.183,101.299,108.69,115.407,125.129,130.734,138.756,160.105,156.898,164.218,168.05,175.119,186.134,189.392,196.603,199.658,197.201,204.637,213.77326976395,218.3472171282
Nigeria,13.463,14.167,14.834,14.505,15.531,15.857,16.243,16.117,15.111,16.089,14.727,15.462,21.545,20.184,24.275,23.539,23.11,22.978,21.11,19.777,26.121,27.034,28.728,28.906,32.254,33.142,36.505,32.214897,33.3772,33.104466,32.429072,35.976373907066,34.417826849304
South Africa,167.226,168.316,168.09,174.706,181.69,186.655,201.716,210.362,205.374,203.012,210.67,210.1,220.575,234.229,244.605,244.922,253.798,263.479,258.291,249.557,259.601,262.538,257.919,256.073,252.578,249.655,252.747,255.134327,256.397228,252.643614,239.520363,244.38460917688,234.86717089331
Middle-East,244.485,246.136,279.933,308.862,329.795,345.704,366.034,389.681,421.877,445.722,472.482,499.736,533.429,563.208,597.733,645.166,689.781,733.097,779.181,812.697,888.014,916.247,977.103,1012.735,1082.233,1133.699,1171.895,1225.11335,1238.867322,1268.832397,1276.668029,1331.037659278,1388.8935249663
Iran,59.102,64.126,68.676,76.204,81.878,84.981,90.867,97.765,103.464,112.657,121.383,130.199,141.081,153.878,166.918,178.088,192.682,203.986,214.53,221.37,232.959,240.052,254.276,262.434,274.609,280.633,289.094,307.983832,309.350975,321.569684,324.844817,344.70702311813,352.62154386943
Kuwait,18.477,10.78,16.885,20.178,22.802,23.724,25.475,26.724,29.984,31.576,32.323,34.299,36.362,38.577,41.257,43.734,47.605,48.754,51.749,53.216,57.082,57.489,61.119,60.982,65.14,68.288,70.085,72.788,74.103,75.071,74.756807,80.780791447851,83.451400555321
Saudi Arabia,69.208,74.011,82.19,91.04,93.922,97.846,101.114,107.546,114.623,119.015,126.191,133.673,141.736,153.0,159.875,176.124,181.434,190.535,204.2,217.082,240.071,250.082,289.334,303.064,337.118,360.281,368.987,379.438262,389.102628,387.661641,395.11832,408.33606778081,432.5609495882
United Arab Emirates,17.08,17.351,18.689,21.73,23.736,24.982,26.572,28.4,33.392,37.126,39.944,43.172,46.856,49.45,52.417,60.698,66.768,78.761,80.463,85.698,93.949,99.137,106.222,109.995,116.545,127.383,129.613,134.5687,136.0144,138.4541,138.87221,150.74828330768,155.99390833
